Kids_First_Biospecimen_ID	sample_id	cohort_participant_id	cell_type	fraction	cluster_assigned	method	cluster_feature_mean_score	feature_mean_score	feature_variance	molecular_subtype
BS_014EVM2D	7316-362	C75522	Common lymphoid progenitor	0.16625808400037767	1	IntNMF	0.12367854587179002	0.21693457999283672	0.014704427739271761	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Common myeloid progenitor	0	1	IntNMF	1.6043306748040264e-4	8.097191225804827e-5	9.217609938037137e-7	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Myeloid dendritic cell	3.884686931022246e-20	1	IntNMF	0.0010515558140374581	0.0012251295324518048	1.706413570276046e-5	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Endothelial cell	0.05234968694273874	1	IntNMF	0.04260277495132351	0.03787502581723671	0.001382270052715572	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Eosinophil	0.020717328876554742	1	IntNMF	0.024732856347395374	0.014243697646901778	2.1620057027765967e-4	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Cancer associated fibroblast	0.16483088564045936	1	IntNMF	0.13508279167233436	0.07037820512192414	0.005857853522019654	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Granulocyte-monocyte progenitor	1.8396213634332056e-18	1	IntNMF	4.8008272258803784e-5	3.553221344860862e-4	1.3833031357214354e-5	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Hematopoietic stem cell	0.1851557330006246	1	IntNMF	0.08892831732946595	0.16983044490247043	0.02017807852112425	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Macrophage	0.0928482761620561	1	IntNMF	0.05572173559314787	0.05880693895326338	0.0018670403968166517	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Macrophage M1	0.08273180312846072	1	IntNMF	0.06687308205807842	0.060628671813160985	0.0011650120888651097	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Macrophage M2	0.031145060207289615	1	IntNMF	0.016960072308051966	0.022163407735418163	4.2480971584454304e-4	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Mast cell	0.01254943379105765	1	IntNMF	0.01140916588935747	0.006527521529785992	7.105886050319245e-5	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	B cell memory	1.2991592162399866e-17	1	IntNMF	7.874350238213655e-4	0.0013986066104862266	2.7871879855852812e-5	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Monocyte	0.05510369505080882	1	IntNMF	0.03914694756948593	0.033152081415901966	0.0012243120139283368	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	B cell naive	1.0566468345176241e-17	1	IntNMF	3.75228804370743e-5	5.8955029939410875e-5	3.184646701098714e-7	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Neutrophil	0	1	IntNMF	0.0019199528577299213	0.0012376299150179783	9.941679109674872e-5	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	NK cell	1.9157003709015253e-18	1	IntNMF	3.733297873589839e-18	4.020576048185229e-18	5.429245315747896e-35	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell NK	0.10424548202730756	1	IntNMF	0.11353184499828443	0.08663939877778735	0.003379727051375006	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Plasmacytoid dendritic cell	4.1239953663068534e-4	1	IntNMF	0.002689164690439372	0.0025946938014126237	9.291807146369582e-5	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	B cell plasma	0	1	IntNMF	0.005380927632620305	0.004501085545529014	6.445378421713532e-5	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell gamma delta	1.187744105957875e-18	1	IntNMF	9.137335329680104e-5	2.615673518810432e-4	1.6810135706955826e-6	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD4+ Th1	0	1	IntNMF	0.008013486350720302	0.016296174960143017	3.4865280313021145e-4	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD4+ Th2	1.0349775832807358e-19	1	IntNMF	0.005989540934079696	0.01934387870840072	0.0011746563919262975	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell regulatory (Tregs)	0.021243539019301882	1	IntNMF	0.034788074299450356	0.0255688212345678	6.881961090829847e-4	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	immune score	0.13523844299249949	1	IntNMF	0.10101581485681708	0.08617057438174629	0.0037875822646429493	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	stroma score	0.11102784525709179	1	IntNMF	0.08990915395171885	0.054889930104886395	0.0020347179894153675	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	microenvironment score	0.2462662882495913	1	IntNMF	0.19092496880853593	0.14106050448663268	0.006775440110094406	LGG, other MAPK
BS_02NZT8CE	7316-1745	C324351	Myeloid dendritic cell activated	0.11386133588350777	1	IntNMF	0.12624876889128317	0.11831709360011683	0.0025129772606747713	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	B cell	0.04473701330997033	1	IntNMF	0.015395883456866285	0.011105065794352829	3.97750232173297e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD4+ memory	0.013780376894435993	1	IntNMF	0.006739243123084527	0.015171221657019054	3.686917563491935e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD4+ naive	0.04245340095412515	1	IntNMF	0.004985989252270947	0.0035461669219925985	5.323694401485619e-5	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD4+ (non-regulatory)	9.583738299011474e-19	1	IntNMF	2.2770177993660653e-4	2.655729347206818e-4	3.141775156764923e-6	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD4+ central memory	0.003726497610058171	1	IntNMF	0.02971284677985292	0.01736833620219862	5.926991403897705e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD4+ effector memory	0	1	IntNMF	0.010277962125908596	0.013260328241489825	4.5710470200343174e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD8+ naive	0.004857161195927861	1	IntNMF	0.0019521475630694825	0.009432368513169354	1.0600319737753078e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD8+	1.780484329403805e-20	1	IntNMF	0.0019179229772687107	0.0026922238502230097	9.390520944538367e-5	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD8+ central memory	0.012168614377152985	1	IntNMF	0.004461038409308192	0.006566342857947108	3.66735890936023e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD8+ effector memory	0	1	IntNMF	6.527491152737913e-4	4.0882406577871355e-4	8.576531930866003e-6	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Class-switched memory B cell	0.02662652874692601	1	IntNMF	0.027426773365216175	0.01500891295151236	3.355371950819857e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Common lymphoid progenitor	0.151303167152055	1	IntNMF	0.12367854587179002	0.21693457999283672	0.014704427739271761	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Common myeloid progenitor	0	1	IntNMF	1.6043306748040264e-4	8.097191225804827e-5	9.217609938037137e-7	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Myeloid dendritic cell	2.7358747840115233e-19	1	IntNMF	0.0010515558140374581	0.0012251295324518048	1.706413570276046e-5	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Endothelial cell	0.02669530571495251	1	IntNMF	0.04260277495132351	0.03787502581723671	0.001382270052715572	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Eosinophil	0.013181781366831798	1	IntNMF	0.024732856347395374	0.014243697646901778	2.1620057027765967e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Cancer associated fibroblast	0.08784384098589225	1	IntNMF	0.13508279167233436	0.07037820512192414	0.005857853522019654	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Granulocyte-monocyte progenitor	8.45883226537627e-18	1	IntNMF	4.8008272258803784e-5	3.553221344860862e-4	1.3833031357214354e-5	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Hematopoietic stem cell	0.12225910173882569	1	IntNMF	0.08892831732946595	0.16983044490247043	0.02017807852112425	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Macrophage	0.13284848198882257	1	IntNMF	0.05572173559314787	0.05880693895326338	0.0018670403968166517	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Macrophage M1	0.11461680076480742	1	IntNMF	0.06687308205807842	0.060628671813160985	0.0011650120888651097	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Macrophage M2	0.06915887676891334	1	IntNMF	0.016960072308051966	0.022163407735418163	4.2480971584454304e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Mast cell	0.031193661290294182	1	IntNMF	0.01140916588935747	0.006527521529785992	7.105886050319245e-5	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	B cell memory	0	1	IntNMF	7.874350238213655e-4	0.0013986066104862266	2.7871879855852812e-5	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Monocyte	0.09116013471752278	1	IntNMF	0.03914694756948593	0.033152081415901966	0.0012243120139283368	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	B cell naive	3.577695259599502e-18	1	IntNMF	3.75228804370743e-5	5.8955029939410875e-5	3.184646701098714e-7	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Neutrophil	0	1	IntNMF	0.0019199528577299213	0.0012376299150179783	9.941679109674872e-5	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	NK cell	1.0028335068521117e-18	1	IntNMF	3.733297873589839e-18	4.020576048185229e-18	5.429245315747896e-35	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell NK	0.01866599673551782	1	IntNMF	0.11353184499828443	0.08663939877778735	0.003379727051375006	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	Plasmacytoid dendritic cell	0.0048266864613602765	1	IntNMF	0.002689164690439372	0.0025946938014126237	9.291807146369582e-5	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	B cell plasma	0	1	IntNMF	0.005380927632620305	0.004501085545529014	6.445378421713532e-5	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell gamma delta	0	1	IntNMF	9.137335329680104e-5	2.615673518810432e-4	1.6810135706955826e-6	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD4+ Th1	0.0032293672239356364	1	IntNMF	0.008013486350720302	0.016296174960143017	3.4865280313021145e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell CD4+ Th2	1.291946591073705e-18	1	IntNMF	0.005989540934079696	0.01934387870840072	0.0011746563919262975	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	T cell regulatory (Tregs)	0.032782309187337884	1	IntNMF	0.034788074299450356	0.0255688212345678	6.881961090829847e-4	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	immune score	0.20874738178229446	1	IntNMF	0.10101581485681708	0.08617057438174629	0.0037875822646429493	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	stroma score	0.057269573350422376	1	IntNMF	0.08990915395171885	0.054889930104886395	0.0020347179894153675	LGG_NF1
BS_02NZT8CE	7316-1745	C324351	microenvironment score	0.26601695513271684	1	IntNMF	0.19092496880853593	0.14106050448663268	0.006775440110094406	LGG_NF1
BS_044XZ8ST	7316-3570	C907617	Myeloid dendritic cell activated	0.13980085956828364	1	IntNMF	0.12624876889128317	0.11831709360011683	0.0025129772606747713	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	B cell	0	1	IntNMF	0.015395883456866285	0.011105065794352829	3.97750232173297e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD4+ memory	0	1	IntNMF	0.006739243123084527	0.015171221657019054	3.686917563491935e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD4+ naive	0	1	IntNMF	0.004985989252270947	0.0035461669219925985	5.323694401485619e-5	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD4+ (non-regulatory)	1.0890536725717986e-17	1	IntNMF	2.2770177993660653e-4	2.655729347206818e-4	3.141775156764923e-6	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD4+ central memory	0.041200803862644526	1	IntNMF	0.02971284677985292	0.01736833620219862	5.926991403897705e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD4+ effector memory	2.6358627612463944e-18	1	IntNMF	0.010277962125908596	0.013260328241489825	4.5710470200343174e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD8+ naive	0	1	IntNMF	0.0019521475630694825	0.009432368513169354	1.0600319737753078e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD8+	8.865735626585811e-19	1	IntNMF	0.0019179229772687107	0.0026922238502230097	9.390520944538367e-5	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD8+ central memory	8.989898077517726e-18	1	IntNMF	0.004461038409308192	0.006566342857947108	3.66735890936023e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD8+ effector memory	1.4006539327110916e-18	1	IntNMF	6.527491152737913e-4	4.0882406577871355e-4	8.576531930866003e-6	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Class-switched memory B cell	0.05259504548124933	1	IntNMF	0.027426773365216175	0.01500891295151236	3.355371950819857e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Common lymphoid progenitor	0.10005189267266026	1	IntNMF	0.12367854587179002	0.21693457999283672	0.014704427739271761	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Common myeloid progenitor	1.7286944963493583e-18	1	IntNMF	1.6043306748040264e-4	8.097191225804827e-5	9.217609938037137e-7	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Myeloid dendritic cell	3.7945721014684486e-19	1	IntNMF	0.0010515558140374581	0.0012251295324518048	1.706413570276046e-5	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Endothelial cell	0.05060003022273502	1	IntNMF	0.04260277495132351	0.03787502581723671	0.001382270052715572	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Eosinophil	0.02626767871808475	1	IntNMF	0.024732856347395374	0.014243697646901778	2.1620057027765967e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Cancer associated fibroblast	0.06804511688048709	1	IntNMF	0.13508279167233436	0.07037820512192414	0.005857853522019654	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Granulocyte-monocyte progenitor	0	1	IntNMF	4.8008272258803784e-5	3.553221344860862e-4	1.3833031357214354e-5	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Hematopoietic stem cell	0.13092822194220666	1	IntNMF	0.08892831732946595	0.16983044490247043	0.02017807852112425	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Macrophage	0.052749379912084976	1	IntNMF	0.05572173559314787	0.05880693895326338	0.0018670403968166517	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Macrophage M1	0.0781719275530589	1	IntNMF	0.06687308205807842	0.060628671813160985	0.0011650120888651097	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Macrophage M2	0.020403513495555	1	IntNMF	0.016960072308051966	0.022163407735418163	4.2480971584454304e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Mast cell	0.0023275666270244862	1	IntNMF	0.01140916588935747	0.006527521529785992	7.105886050319245e-5	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	B cell memory	9.011486413074597e-18	1	IntNMF	7.874350238213655e-4	0.0013986066104862266	2.7871879855852812e-5	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Monocyte	0.03027861599790189	1	IntNMF	0.03914694756948593	0.033152081415901966	0.0012243120139283368	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	B cell naive	6.8060813700905026e-18	1	IntNMF	3.75228804370743e-5	5.8955029939410875e-5	3.184646701098714e-7	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Neutrophil	0	1	IntNMF	0.0019199528577299213	0.0012376299150179783	9.941679109674872e-5	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	NK cell	4.372783447269769e-18	1	IntNMF	3.733297873589839e-18	4.020576048185229e-18	5.429245315747896e-35	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell NK	0.09360539132694466	1	IntNMF	0.11353184499828443	0.08663939877778735	0.003379727051375006	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	Plasmacytoid dendritic cell	0	1	IntNMF	0.002689164690439372	0.0025946938014126237	9.291807146369582e-5	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	B cell plasma	2.017903806768991e-18	1	IntNMF	0.005380927632620305	0.004501085545529014	6.445378421713532e-5	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell gamma delta	0	1	IntNMF	9.137335329680104e-5	2.615673518810432e-4	1.6810135706955826e-6	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD4+ Th1	0	1	IntNMF	0.008013486350720302	0.016296174960143017	3.4865280313021145e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell CD4+ Th2	0	1	IntNMF	0.005989540934079696	0.01934387870840072	0.0011746563919262975	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	T cell regulatory (Tregs)	0.041737915423493054	1	IntNMF	0.034788074299450356	0.0255688212345678	6.881961090829847e-4	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	immune score	0.07441549417006409	1	IntNMF	0.10101581485681708	0.08617057438174629	0.0037875822646429493	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	stroma score	0.06108633945456059	1	IntNMF	0.08990915395171885	0.054889930104886395	0.0020347179894153675	LGG, other MAPK
BS_044XZ8ST	7316-3570	C907617	microenvironment score	0.13550183362462467	1	IntNMF	0.19092496880853593	0.14106050448663268	0.006775440110094406	LGG, other MAPK
BS_063ERW0R	7316-1646	C879204	Myeloid dendritic cell activated	0.030173151255365432	2	IntNMF	0.13729672453052644	0.11831709360011683	0.0025129772606747713	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	B cell	0	2	IntNMF	0.015337864504886905	0.011105065794352829	3.97750232173297e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD4+ memory	7.582026682153775e-20	2	IntNMF	0.030314630935473978	0.015171221657019054	3.686917563491935e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD4+ naive	0	2	IntNMF	0.004667817437637941	0.0035461669219925985	5.323694401485619e-5	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD4+ (non-regulatory)	0.0023280041207786816	2	IntNMF	1.2454628684524966e-4	2.655729347206818e-4	3.141775156764923e-6	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD4+ central memory	0.04866124868004428	2	IntNMF	0.008233881010450708	0.01736833620219862	5.926991403897705e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD4+ effector memory	0	2	IntNMF	0.02477748683237921	0.013260328241489825	4.5710470200343174e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD8+ naive	0.008285782161675938	2	IntNMF	0.015006641387463455	0.009432368513169354	1.0600319737753078e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD8+	0.007969308222395699	2	IntNMF	0.003834122009102765	0.0026922238502230097	9.390520944538367e-5	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD8+ central memory	0.0024277186042359895	2	IntNMF	0.00945393473334261	0.006566342857947108	3.66735890936023e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD8+ effector memory	0	2	IntNMF	4.5309082543370653e-4	4.0882406577871355e-4	8.576531930866003e-6	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Class-switched memory B cell	0.006014415230479332	2	IntNMF	0.0064755186849891734	0.01500891295151236	3.355371950819857e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Common lymphoid progenitor	0.08908641241369973	2	IntNMF	0.32806462193102776	0.21693457999283672	0.014704427739271761	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Common myeloid progenitor	0	2	IntNMF	1.7640904798898938e-18	8.097191225804827e-5	9.217609938037137e-7	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Myeloid dendritic cell	0	2	IntNMF	0.0018991521305306226	0.0012251295324518048	1.706413570276046e-5	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Endothelial cell	0.013034532390277192	2	IntNMF	0.03472720118568573	0.03787502581723671	0.001382270052715572	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Eosinophil	0.027428457435914894	2	IntNMF	0.006887720384219581	0.014243697646901778	2.1620057027765967e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Cancer associated fibroblast	0.012826334698217902	2	IntNMF	0.022771974296717384	0.07037820512192414	0.005857853522019654	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Granulocyte-monocyte progenitor	7.216504269697094e-18	2	IntNMF	9.37615639476172e-4	3.553221344860862e-4	1.3833031357214354e-5	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Hematopoietic stem cell	0.02748521500341542	2	IntNMF	0.13260680738789984	0.16983044490247043	0.02017807852112425	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Macrophage	0.010382976168867315	2	IntNMF	0.0818842750875043	0.05880693895326338	0.0018670403968166517	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Macrophage M1	0.022187063805157982	2	IntNMF	0.07619295851179375	0.060628671813160985	0.0011650120888651097	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Macrophage M2	0	2	IntNMF	0.030077580817965643	0.022163407735418163	4.2480971584454304e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Mast cell	0.0014133574025959358	2	IntNMF	0.004594684217580015	0.006527521529785992	7.105886050319245e-5	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	B cell memory	0	2	IntNMF	0.00332350053387381	0.0013986066104862266	2.7871879855852812e-5	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Monocyte	0.0028617501119243146	2	IntNMF	0.04916229961246162	0.033152081415901966	0.0012243120139283368	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	B cell naive	0	2	IntNMF	1.3589106548772404e-4	5.8955029939410875e-5	3.184646701098714e-7	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Neutrophil	2.331493457985889e-19	2	IntNMF	8.296075783987049e-4	0.0012376299150179783	9.941679109674872e-5	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	NK cell	0	2	IntNMF	3.5878881805217406e-18	4.020576048185229e-18	5.429245315747896e-35	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell NK	0.08868877072420886	2	IntNMF	0.08191530842325005	0.08663939877778735	0.003379727051375006	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	Plasmacytoid dendritic cell	2.976502151756969e-19	2	IntNMF	0.004515803388219879	0.0025946938014126237	9.291807146369582e-5	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	B cell plasma	0.003215099082698717	2	IntNMF	0.004853677872267682	0.004501085545529014	6.445378421713532e-5	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell gamma delta	0	2	IntNMF	6.787223878271898e-4	2.615673518810432e-4	1.6810135706955826e-6	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD4+ Th1	0	2	IntNMF	0.024776887317778024	0.016296174960143017	3.4865280313021145e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell CD4+ Th2	4.465393090212062e-19	2	IntNMF	0.03442230798432365	0.01934387870840072	0.0011746563919262975	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	T cell regulatory (Tregs)	0.06046994209059558	2	IntNMF	0.010172639802103246	0.0255688212345678	6.881961090829847e-4	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	immune score	0.03492256897498456	2	IntNMF	0.10970284787435318	0.08617057438174629	0.0037875822646429493	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	stroma score	0.012930433544247548	2	IntNMF	0.029083582540924052	0.054889930104886395	0.0020347179894153675	LGG, KIAA1549-BRAF
BS_063ERW0R	7316-1646	C879204	microenvironment score	0.04785300251923211	2	IntNMF	0.13878643041527722	0.14106050448663268	0.006775440110094406	LGG, KIAA1549-BRAF
BS_06AMMCXR	7316-154	C177366	Myeloid dendritic cell activated	0.16436326399924003	1	IntNMF	0.12624876889128317	0.11831709360011683	0.0025129772606747713	LGG, KIAA1549-BRAF
BS_06AMMCXR	7316-154	C177366	B cell	0	1	IntNMF	0.015395883456866285	0.011105065794352829	3.97750232173297e-4	LGG, KIAA1549-BRAF
BS_06AMMCXR	7316-154	C177366	T cell CD4+ memory	0	1	IntNMF	0.006739243123084527	0.015171221657019054	3.686917563491935e-4	LGG, KIAA1549-BRAF
