pathways	coefficients
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	-0.624802472823906
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	-0.568009226821275
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	-0.513988452586625
REACTOME_TRIGLYCERIDE_CATABOLISM	-0.513746135997209
REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING	-0.493893805545532
molecular_subtypeGNG_MYB_MYBL1	-0.42922870099623
CNS_regionSuprasellar	-0.388846244953896
REACTOME_DIGESTION_AND_ABSORPTION	-0.386660777652799
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	-0.38282516769521
REACTOME_ORGANIC_CATION_TRANSPORT	-0.266632628705652
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	-0.250882510610041
REACTOME_NOD1_2_SIGNALING_PATHWAY	-0.221480055043852
CNS_regionMidline	-0.164284971295142
molecular_subtypeLGG_RTK	-0.159917721001069
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	-0.151786727958805
molecular_subtypeLGG_FGFR_KIAA1549_BRAF	-0.150048438104049
REACTOME_GLUCONEOGENESIS	-0.149039490611401
raceBlack_or_African_American	-0.140060149234548
raceAsian	-0.136747312374545
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	-0.12699517472012
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS	-0.101067496722074
REACTOME_INSULIN_RECEPTOR_RECYCLING	-0.083325347792722
molecular_subtypeGNG_RTK	-0.0826571786249458
REACTOME_P2Y_RECEPTORS	-0.0678367354682955
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	-0.014129144872196
molecular_subtypeGNG_other_MAPK	-0.00744222830710725
REACTOME_EICOSANOIDS	-0.000597594963085649
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	-5.8105591791038e-05
age_at_diagnosis_days	0.00299733538562751
REACTOME_CARNITINE_METABOLISM	0.012474125077036
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.0274486419553318
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.0284117210393296
REACTOME_REGULATION_BY_C_FLIP	0.0393891837051337
REACTOME_HATS_ACETYLATE_HISTONES	0.0513099373016782
REACTOME_COLLAGEN_DEGRADATION	0.0607153374823808
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.0649365269131388
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY	0.0671344695684259
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	0.0772756871678074
molecular_subtypeLGG_BRAF_V600E_FGFR	0.0772979563623468
REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM	0.0882807276821719
molecular_subtypeLGG_BRAF_V600E	0.111871486338838
REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION	0.123989256778194
CNS_regionVentricles	0.138457958305891
molecular_subtypeLGG_IDH	0.14554579901472
REACTOME_RND1_GTPASE_CYCLE	0.148350308881196
CNS_regionOptic_pathway	0.156348767022596
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS	0.258999600171619
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	0.317540525854127
CNS_regionMixed	0.346175497207405
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	0.365774953827666
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.391786286311028
molecular_subtypeLGG_wildtype	0.439755888506926
CNS_regionPosterior_fossa	0.458446866426778
molecular_subtypeLGG_FGFR_NF1_germline	0.466048247835601
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	0.466871879261757
REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES	0.494659940215262
REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS	0.504064167472971
REACTOME_RHO_GTPASES_ACTIVATE_KTN1	0.539645439375446
molecular_subtypeLGG_NF1_germline_other_MAPK	0.557883627288573
REACTOME_CHROMATIN_MODIFYING_ENZYMES	0.565764161309112
REACTOME_INTERLEUKIN_6_SIGNALING	0.658608541472423
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	0.662660684826183
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.680547961771031
CNS_regionOther	0.694926154965974
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.745309081767823
REACTOME_INTERLEUKIN_21_SIGNALING	0.76589452332194
molecular_subtypeLGG_BRAF_V600E_NF1_germline	0.784217865382786
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	0.814547919127577
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.836428687649966
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.841154790197053
REACTOME_MTORC1_MEDIATED_SIGNALLING	0.842782928190716
REACTOME_INTERLEUKIN_37_SIGNALING	0.848017692182062
REACTOME_P75NTR_SIGNALS_VIA_NF_KB	0.851860738664542
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.867107830086029
REACTOME_SPHINGOLIPID_METABOLISM	0.919278141071441
molecular_subtypeLGG_NF1_germline_NF1_somatic	0.925312847801137
REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION	0.933469887223073
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.956918764695341
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	0.957945066001139
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS	1.02049623641529
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	1.10036536124914
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	1.10564721755891
REACTOME_MUCOPOLYSACCHARIDOSES	1.1176541883827
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	1.14412362098927
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.17707102964491
REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION	1.20155938459594
molecular_subtypeLGG_BRAF_V600E_KIAA1549_BRAF	1.21028429922284
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	1.31795418129567
REACTOME_MET_ACTIVATES_RAS_SIGNALING	1.35668264060718
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	1.37819008682529
REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION	1.37907090762072
REACTOME_SELENOAMINO_ACID_METABOLISM	1.39029745305298
REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE	1.42728500404812
REACTOME_P75NTR_REGULATES_AXONOGENESIS	1.59741162176141
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	1.68491317174737
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY	1.73493843392385
REACTOME_HYALURONAN_METABOLISM	1.79281267710221
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE	1.84523411503749
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	1.94569667387828
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	2.00996753203131
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	2.19020617214053
REACTOME_ELASTIC_FIBRE_FORMATION	2.2118502176605
REACTOME_ONCOGENE_INDUCED_SENESCENCE	2.48095149918807
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY	3.81469048084521
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	4.28458551342297
